ID,Resume_str,Resume_html,Category
382,"HR professional with 6 years of experience in conflict resolution, talent acquisition, and onboarding.","<p>HR professional with <b>6 years</b> of experience in <i>conflict resolution</i>, <i>talent acquisition</i>, and <i>onboarding</i>.</p>",HR
383,"Business Analyst professional with 4 years of experience in client communication, Power BI, and dashboard reporting.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>client communication</i>, <i>Power BI</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
384,"Mechanical Engineer professional with 6 years of experience in quality inspection, SolidWorks, and AutoCAD.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>quality inspection</i>, <i>SolidWorks</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
385,"Marketing professional with 3 years of experience in content creation, social media, and analytics.","<p>Marketing professional with <b>3 years</b> of experience in <i>content creation</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
386,"Software Engineer professional with 4 years of experience in Python, MongoDB, and algorithms.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Python</i>, <i>MongoDB</i>, and <i>algorithms</i>.</p>",Software Engineer
387,"Software Engineer professional with 2 years of experience in algorithms, Node.js, and MongoDB.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>algorithms</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
388,"Marketing professional with 4 years of experience in analytics, digital campaigns, and social media.","<p>Marketing professional with <b>4 years</b> of experience in <i>analytics</i>, <i>digital campaigns</i>, and <i>social media</i>.</p>",Marketing
389,"Software Engineer professional with 4 years of experience in Node.js, algorithms, and data structures.","<p>Software Engineer professional with <b>4 years</b> of experience in <i>Node.js</i>, <i>algorithms</i>, and <i>data structures</i>.</p>",Software Engineer
390,"Mechanical Engineer professional with 1 years of experience in thermodynamics, SolidWorks, and manufacturing processes.","<p>Mechanical Engineer professional with <b>1 years</b> of experience in <i>thermodynamics</i>, <i>SolidWorks</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
391,"Marketing professional with 5 years of experience in digital campaigns, SEO, and analytics.","<p>Marketing professional with <b>5 years</b> of experience in <i>digital campaigns</i>, <i>SEO</i>, and <i>analytics</i>.</p>",Marketing
392,"Mechanical Engineer professional with 4 years of experience in CAD tools, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
393,"Marketing professional with 1 years of experience in analytics, SEO, and digital campaigns.","<p>Marketing professional with <b>1 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>digital campaigns</i>.</p>",Marketing
394,"Business Analyst professional with 1 years of experience in Power BI, SQL, and Excel.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Power BI</i>, <i>SQL</i>, and <i>Excel</i>.</p>",Business Analyst
395,"Mechanical Engineer professional with 5 years of experience in SolidWorks, AutoCAD, and manufacturing processes.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>SolidWorks</i>, <i>AutoCAD</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
396,"Software Engineer professional with 1 years of experience in Node.js, Java, and Python.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Node.js</i>, <i>Java</i>, and <i>Python</i>.</p>",Software Engineer
397,"Marketing professional with 6 years of experience in digital campaigns, social media, and analytics.","<p>Marketing professional with <b>6 years</b> of experience in <i>digital campaigns</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
398,"Mechanical Engineer professional with 4 years of experience in quality inspection, AutoCAD, and CAD tools.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>quality inspection</i>, <i>AutoCAD</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
399,"Business Analyst professional with 5 years of experience in Power BI, Excel, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>Power BI</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
400,"HR professional with 2 years of experience in onboarding, recruitment, and employee engagement.","<p>HR professional with <b>2 years</b> of experience in <i>onboarding</i>, <i>recruitment</i>, and <i>employee engagement</i>.</p>",HR
401,"Mechanical Engineer professional with 6 years of experience in AutoCAD, thermodynamics, and SolidWorks.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>AutoCAD</i>, <i>thermodynamics</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
402,"Mechanical Engineer professional with 2 years of experience in SolidWorks, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>SolidWorks</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
403,"Mechanical Engineer professional with 2 years of experience in CAD tools, manufacturing processes, and thermodynamics.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
404,"Mechanical Engineer professional with 7 years of experience in thermodynamics, AutoCAD, and SolidWorks.","<p>Mechanical Engineer professional with <b>7 years</b> of experience in <i>thermodynamics</i>, <i>AutoCAD</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
405,"Mechanical Engineer professional with 5 years of experience in SolidWorks, AutoCAD, and quality inspection.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>SolidWorks</i>, <i>AutoCAD</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
406,"Business Analyst professional with 7 years of experience in data interpretation, dashboard reporting, and SQL.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>SQL</i>.</p>",Business Analyst
407,"Mechanical Engineer professional with 2 years of experience in AutoCAD, manufacturing processes, and quality inspection.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>AutoCAD</i>, <i>manufacturing processes</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
408,"Business Analyst professional with 2 years of experience in dashboard reporting, SQL, and Power BI.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>dashboard reporting</i>, <i>SQL</i>, and <i>Power BI</i>.</p>",Business Analyst
409,"HR professional with 6 years of experience in recruitment, onboarding, and talent acquisition.","<p>HR professional with <b>6 years</b> of experience in <i>recruitment</i>, <i>onboarding</i>, and <i>talent acquisition</i>.</p>",HR
410,"HR professional with 2 years of experience in recruitment, talent acquisition, and HR policies.","<p>HR professional with <b>2 years</b> of experience in <i>recruitment</i>, <i>talent acquisition</i>, and <i>HR policies</i>.</p>",HR
411,"Software Engineer professional with 2 years of experience in algorithms, MongoDB, and Java.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>algorithms</i>, <i>MongoDB</i>, and <i>Java</i>.</p>",Software Engineer
412,"Business Analyst professional with 2 years of experience in client communication, Excel, and dashboard reporting.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>client communication</i>, <i>Excel</i>, and <i>dashboard reporting</i>.</p>",Business Analyst
413,"Mechanical Engineer professional with 2 years of experience in CAD tools, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
414,"Business Analyst professional with 2 years of experience in data interpretation, dashboard reporting, and client communication.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>data interpretation</i>, <i>dashboard reporting</i>, and <i>client communication</i>.</p>",Business Analyst
415,"Mechanical Engineer professional with 5 years of experience in manufacturing processes, CAD tools, and quality inspection.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>manufacturing processes</i>, <i>CAD tools</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
416,"HR professional with 3 years of experience in employee engagement, onboarding, and talent acquisition.","<p>HR professional with <b>3 years</b> of experience in <i>employee engagement</i>, <i>onboarding</i>, and <i>talent acquisition</i>.</p>",HR
417,"Software Engineer professional with 2 years of experience in data structures, backend development, and algorithms.","<p>Software Engineer professional with <b>2 years</b> of experience in <i>data structures</i>, <i>backend development</i>, and <i>algorithms</i>.</p>",Software Engineer
418,"Software Engineer professional with 7 years of experience in backend development, Java, and algorithms.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>backend development</i>, <i>Java</i>, and <i>algorithms</i>.</p>",Software Engineer
419,"Marketing professional with 3 years of experience in SEO, social media, and analytics.","<p>Marketing professional with <b>3 years</b> of experience in <i>SEO</i>, <i>social media</i>, and <i>analytics</i>.</p>",Marketing
420,"Marketing professional with 5 years of experience in digital campaigns, content creation, and social media.","<p>Marketing professional with <b>5 years</b> of experience in <i>digital campaigns</i>, <i>content creation</i>, and <i>social media</i>.</p>",Marketing
421,"HR professional with 2 years of experience in HR policies, talent acquisition, and recruitment.","<p>HR professional with <b>2 years</b> of experience in <i>HR policies</i>, <i>talent acquisition</i>, and <i>recruitment</i>.</p>",HR
