ID,JobDescription,Department
3026,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
3027,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
3028,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
3029,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
3030,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
3031,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
3032,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
3033,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
3034,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
3035,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
3036,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
3037,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
3038,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
3039,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
3040,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
3041,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
3042,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
3043,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
3044,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
3045,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
3046,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
3047,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
3048,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
3049,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
3050,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
3051,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
3052,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
3053,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
3054,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
3055,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
3056,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
3057,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
3058,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
3059,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
3060,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
3061,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
3062,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
3063,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
3064,"Looking for a hr professional to Coordinate recruitment, onboarding, and HR policy implementation.",HR
3065,"Looking for a mechanical engineer professional to Perform quality checks, manage AutoCAD designs, and oversee production.",Mechanical Engineer
3066,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
3067,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
3068,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
